id,birth_year,gender,tenure,industry,occupation,org_size,household,metro_or_regional,time_q4_2020,time_q4_2020_1,time_rem_2021,pref_time_2021,pref_time_future,these_questions_are_about,in_the_past_6,how_often_do_you,how_often_would_you,does_your_employer_have,how_much_of_your,thinking_about_your_employer,thinking_about_your_employer_1,thinking_about_your_employer_2,thinking_about_your_employer_3,how_do_you_feel,org_encouraged,org_prepared,org_common,permission,collaboration,thinking_about_remote_working,thinking_about_remote_working_1,do_you_think_remote,who_is_most_supportive,org_encourage_future,org_support_future,choice_future,commute_time,think_about_your_experience,caring_time,family_time,think_about_your_experience_1,commute_time_1,think_about_your_experience_2,caring_time_1,family_time_1,think_about_your_experience_3,imagine_your_employer_offered,what_is_the_biggest,have_the_following_barriers,have_the_following_barriers_1,have_the_following_barriers_2,have_the_following_barriers_3,have_the_following_barriers_4,have_the_following_barriers_5,have_the_following_barriers_6,have_the_following_barriers_7,have_the_following_barriers_8,have_the_following_barriers_9,have_the_following_barriers_10,have_the_following_barriers_11,have_the_following_barriers_12,have_the_following_barriers_13,have_the_following_barriers_14,have_the_following_barriers_15,feel_better,more_active,feel_better_1,manages_people,do_employees_you_manage,mgmt_discretion,mgmt_retain,mgmt_recruit,team_collab,mgmt_ease_remote,mgmt_poor_performers,mgmt_prepared_remote,mgmt_focus_results,mgmt_contact,productivity,now_think_about_the,major_barrier1,major_barrier2,major_barrier3,minor_barrier1,minor_barrier2,minor_barrier3,age
13,1992,female,between 6 and 12 months,other services,professionals - ict professionals,between 1 and 4,couple with dependent children,metro,50% - i spent about half of my time remote working,50% - about half of my time,50% - i spent about half of my time remote working,50% - about half of my time,50% - about half of my time,no,yes,50% - about half of my time,50% - about half of my time,no,,5,5,5,5,strongly positive,5,5,5,5,5,5,5,strongly positive,senior leadership,very likely,very likely,very likely,3.0,8.0,2.0,3.0,8.0,0.0,12.0,2.0,2.0,8.0,no,,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,3,3,3,yes,yes,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,im 10% less productive when working remotely,im 10% less productive when working remotely,,,,,,,29
14,1968,female,more than 5 years,administrative and support,clerical and administrative workers - general clerical workers,more than 200,couple with no dependent children,metro,50% - i spent about half of my time remote working,20%,50% - i spent about half of my time remote working,20%,i would prefer not to work remotely,yes,no,,,yes,50% - about half of my time,1,1,1,1,strongly positive,1,4,5,1,2,3,4,strongly negative,they are about the same,very unlikely,very likely,very unlikely,2.5,8.0,2.0,3.5,8.0,0.0,8.0,3.0,4.0,9.0,no,,not a barrier for me,significantly worsened,significantly worsened,significantly worsened,significantly worsened,significantly worsened,significantly worsened,somewhat improved,significantly worsened,significantly worsened,significantly worsened,somewhat worsened,not a barrier for me,not a barrier for me,somewhat worsened,somewhat improved,1,1,5,no,,,,,,,,,,,im 20% less productive when working remotely,,difficulty collaborating with remote colleagues,connectivity/internet issues,connectivity/internet issues,lack of privacy,lack of privacy,interruptions,53
15,1976,male,more than 5 years,"professional, scientific and technical",professionals - health professionals,between 5 and 19,single person,metro,80%,80%,80%,70%,80%,yes,no,,,no,,4,4,5,4,somewhat negative,4,4,5,4,4,4,5,neither positive nor negative,senior leadership,somewhat likely,somewhat likely,somewhat likely,1.0,11.0,2.0,1.0,9.0,0.0,12.0,2.0,2.0,8.0,no,,somewhat improved,somewhat improved,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,4,4,4,no,,,,,,,,,,,im 40% more productive when working remotely,,interruptions,lack of appropriate work and meeting spaces,connectivity/internet issues,difficulty collaborating with remote colleagues,problems with audio-visual setup,lack of appropriate work and meeting spaces,45
16,1973,male,more than 5 years,education and training,professionals - education professionals,more than 200,single person,metro,30%,50% - about half of my time,10%,20%,40%,no,yes,30%,40%,yes,100% - all of my time,2,2,2,2,somewhat positive,4,2,4,4,2,3,4,somewhat negative,they are about the same,neither unlikely or likely,somewhat likely,somewhat likely,3.0,8.0,3.0,2.0,8.0,2.0,8.0,3.0,3.0,8.0,no,,somewhat worsened,somewhat worsened,somewhat worsened,somewhat worsened,somewhat worsened,somewhat worsened,somewhat worsened,somewhat worsened,somewhat worsened,somewhat worsened,somewhat worsened,somewhat worsened,stayed about the same,somewhat worsened,stayed about the same,somewhat worsened,3,3,3,yes,yes,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,im 50% more productive when working remotely (or more),im 50% more productive when working remotely (or more),difficulty collaborating with remote colleagues,connectivity/internet issues,connectivity/internet issues,interruptions,problems with audio-visual setup,interruptions,48
17,1972,female,between 1 and 5 years,retail trade,"managers - hospitality, retail and service managers",more than 200,one parent family with dependent children,regional,30%,10%,20%,20%,20%,no,yes,20%,20%,yes,30%,3,3,4,3,somewhat positive,4,4,4,4,4,4,4,somewhat positive,my direct manger(s),neither unlikely or likely,neither unlikely or likely,neither unlikely or likely,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,no,,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,3,3,4,no,,,,,,,,,,,im 50% more productive when working remotely (or more),,noisy work environment,lack of appropriate work and meeting spaces,interruptions,interruptions,connectivity/internet issues,lack of appropriate work and meeting spaces,49
18,1977,female,more than 5 years,administrative and support,"managers - chief executives, general managers and legislators",between 5 and 19,couple with dependent children,regional,20%,10%,10%,less than 10% of my time,10%,yes,yes,10%,10%,yes,10%,5,3,4,4,strongly positive,5,5,5,5,5,5,5,somewhat positive,senior leadership,very likely,very likely,very likely,3.0,8.0,3.0,3.0,7.0,1.0,8.0,4.0,3.0,8.0,yes,0.1,somewhat improved,stayed about the same,somewhat improved,stayed about the same,stayed about the same,somewhat improved,stayed about the same,stayed about the same,stayed about the same,somewhat improved,stayed about the same,stayed about the same,stayed about the same,somewhat improved,somewhat improved,somewhat improved,4,5,4,yes,yes,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,im 10% more productive when working remotely,im 10% more productive when working remotely,difficulty collaborating with remote colleagues,connectivity/internet issues,difficulty innovating,interruptions,problems with audio-visual setup,connectivity/internet issues,44
19,1978,male,more than 5 years,construction,managers - specialist managers,between 20 and 199,couple with dependent children,metro,30%,40%,20%,20%,20%,yes,yes,30%,30%,yes,60%,5,4,4,5,strongly positive,3,5,4,5,5,3,4,strongly positive,they are about the same,neither unlikely or likely,neither unlikely or likely,somewhat likely,3.0,8.0,3.0,2.0,8.0,1.0,8.0,4.0,3.0,8.0,yes,0.1,somewhat improved,somewhat improved,somewhat improved,somewhat improved,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat improved,stayed about the same,stayed about the same,4,4,3,yes,yes,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,im 10% more productive when working remotely,im 10% more productive when working remotely,lack of privacy,connectivity/internet issues,lack of appropriate work and meeting spaces,noisy work environment,lack of privacy,interruptions,43
20,1995,female,between 1 and 5 years,retail trade,sales workers - sales support workers,more than 200,other one family household,metro,80%,100% - all of my time,80%,100% - all of my time,100% - all of my time,yes,no,,,yes,20%,4,2,2,4,somewhat positive,4,4,5,4,4,3,4,somewhat positive,they are about the same,somewhat unlikely,somewhat unlikely,somewhat unlikely,2.5,8.0,3.0,2.5,8.0,0.5,8.0,3.0,4.5,8.0,no,,not a barrier for me,somewhat worsened,somewhat worsened,not a barrier for me,not a barrier for me,somewhat worsened,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,significantly worsened,somewhat improved,not a barrier for me,somewhat worsened,not a barrier for me,somewhat improved,5,5,2,no,,,,,,,,,,,im 20% more productive when working remotely,,interruptions,connectivity/internet issues,interruptions,noisy work environment,lack of appropriate work and meeting spaces,lack of appropriate work and meeting spaces,26
21,1980,female,between 6 and 12 months,construction,community and personal service workers - hospitality workers,between 5 and 19,couple with dependent children,metro,20%,20%,20%,20%,30%,no,yes,30%,20%,yes,10%,4,4,4,4,somewhat positive,5,4,5,4,4,4,4,somewhat positive,senior leadership,very likely,somewhat likely,somewhat likely,8.0,2.0,1.0,5.0,8.0,2.0,10.0,8.0,2.0,2.0,yes,0.05,somewhat improved,somewhat improved,significantly improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,stayed about the same,stayed about the same,somewhat improved,significantly improved,somewhat improved,somewhat improved,significantly improved,somewhat improved,somewhat improved,4,4,4,yes,no,,,,,,,,,,im 50% more productive when working remotely (or more),im 50% more productive when working remotely (or more),noisy work environment,connectivity/internet issues,connectivity/internet issues,difficulty collaborating with remote colleagues,problems with audio-visual setup,lack of appropriate work and meeting spaces,41
22,1978,male,more than 5 years,accommodation and food,managers - specialist managers,between 20 and 199,couple with dependent children,regional,30%,30%,30%,30%,30%,no,yes,30%,30%,no,,4,4,4,5,strongly positive,4,4,5,5,5,4,4,strongly positive,senior leadership,very likely,somewhat likely,somewhat likely,1.0,2.0,5.0,8.0,8.0,1.0,8.0,4.0,3.0,8.0,no,,significantly improved,somewhat improved,somewhat improved,somewhat improved,significantly improved,somewhat improved,significantly improved,significantly improved,somewhat improved,significantly improved,stayed about the same,somewhat improved,somewhat improved,somewhat improved,stayed about the same,stayed about the same,5,4,4,yes,yes,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,im 30% more productive when working remotely,im 30% more productive when working remotely,,,,,,,43
23,1976,male,more than 5 years,wholesale trade,managers - specialist managers,between 20 and 199,couple with dependent children,metro,30%,40%,50% - i spent about half of my time remote working,20%,50% - about half of my time,yes,yes,50% - about half of my time,50% - about half of my time,no,,3,4,4,3,neither positive nor negative,3,2,3,3,4,4,2,somewhat negative,my direct manger(s),neither unlikely or likely,somewhat likely,somewhat unlikely,2.0,8.0,3.0,3.0,8.0,0.0,8.0,5.0,3.0,8.0,yes,0.1,somewhat worsened,stayed about the same,stayed about the same,somewhat worsened,somewhat worsened,stayed about the same,stayed about the same,somewhat worsened,stayed about the same,somewhat worsened,somewhat worsened,somewhat worsened,stayed about the same,stayed about the same,stayed about the same,somewhat worsened,3,4,2,yes,yes,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,im 30% more productive when working remotely,im 30% more productive when working remotely,interruptions,lack of appropriate work and meeting spaces,lack of appropriate work and meeting spaces,lack of privacy,connectivity/internet issues,connectivity/internet issues,45
24,1961,male,more than 5 years,wholesale trade,managers - specialist managers,between 20 and 199,couple with no dependent children,metro,90%,90%,90%,90%,90%,yes,no,,,no,,5,5,5,5,neither positive nor negative,2,1,3,5,5,1,4,strongly positive,my direct manger(s),neither unlikely or likely,neither unlikely or likely,neither unlikely or likely,1.0,4.0,6.0,6.0,7.0,0.0,4.0,8.0,4.0,8.0,yes,0.2,somewhat improved,somewhat improved,stayed about the same,somewhat improved,not a barrier for me,somewhat improved,somewhat improved,significantly improved,not a barrier for me,not a barrier for me,significantly improved,significantly improved,stayed about the same,not a barrier for me,not a barrier for me,significantly improved,5,5,1,yes,yes,3.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,im 50% more productive when working remotely (or more),im 50% more productive when working remotely (or more),,,,,,,60
25,1965,female,between 1 and 5 years,education and training,clerical and administrative workers - general clerical workers,between 20 and 199,couple with dependent children,metro,100% - i spent all of my time remote working,100% - all of my time,100% - i spent all of my time remote working,100% - all of my time,less than 10% of my time,yes,yes,100% - all of my time,100% - all of my time,no,,5,5,5,5,strongly positive,5,5,5,5,5,5,5,strongly positive,my direct manger(s),very unlikely,very unlikely,very unlikely,2.0,8.0,4.0,4.0,6.0,1.0,8.0,3.0,4.0,8.0,yes,0.05,significantly improved,significantly improved,significantly improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,5,5,5,no,,,,,,,,,,,im 50% more productive when working remotely (or more),,,,,,,,56
26,1959,male,between 1 and 5 years,wholesale trade,managers - specialist managers,i am a sole trader/owner-operator,couple with dependent children,metro,100% - i spent all of my time remote working,100% - all of my time,100% - i spent all of my time remote working,100% - all of my time,100% - all of my time,no,no,,,no,,5,5,5,5,strongly positive,3,4,4,3,4,3,4,strongly positive,they are about the same,somewhat likely,somewhat likely,very likely,1.0,4.0,0.0,11.0,8.0,1.0,4.0,0.0,11.0,8.0,no,,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,stayed about the same,stayed about the same,5,5,4,no,,,,,,,,,,,my productivity is about same when i work remotely,,noisy work environment,lack of appropriate work and meeting spaces,interruptions,interruptions,connectivity/internet issues,connectivity/internet issues,62
27,1964,female,more than 5 years,wholesale trade,clerical and administrative workers - general clerical workers,more than 200,couple with dependent children,metro,70%,50% - about half of my time,20%,50% - about half of my time,50% - about half of my time,no,no,,,yes,50% - about half of my time,5,3,5,3,strongly positive,5,5,5,5,5,3,5,somewhat positive,they are about the same,somewhat likely,very likely,somewhat likely,1.0,8.0,4.0,3.0,8.0,1.0,8.0,4.0,3.0,8.0,no,,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,somewhat improved,4,4,5,no,,,,,,,,,,,im 30% more productive when working remotely,,,,,,,,57
28,1989,male,between 1 and 5 years,wholesale trade,"managers - chief executives, general managers and legislators",between 5 and 19,couple with dependent children,metro,20%,30%,20%,10%,10%,yes,yes,10%,20%,yes,80%,4,4,4,3,somewhat positive,4,4,4,4,4,4,3,somewhat positive,senior leadership,somewhat likely,neither unlikely or likely,somewhat likely,1.0,8.0,3.0,5.0,7.0,2.0,8.0,3.0,3.0,8.0,yes,0.16,somewhat improved,stayed about the same,stayed about the same,stayed about the same,somewhat improved,stayed about the same,somewhat improved,stayed about the same,somewhat improved,stayed about the same,stayed about the same,somewhat improved,somewhat improved,somewhat improved,stayed about the same,somewhat improved,4,4,5,yes,yes,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,im 30% more productive when working remotely,im 30% more productive when working remotely,,,,,,,32
29,1975,female,more than 5 years,financial and insurance,clerical and administrative workers - clerical and office support workers,between 5 and 19,couple with no dependent children,metro,30%,40%,30%,70%,80%,no,no,,,unsure,,5,5,5,5,strongly positive,5,5,5,5,5,5,5,strongly positive,they are about the same,very likely,very likely,very likely,2.0,8.0,2.0,4.0,8.0,2.0,8.0,2.0,6.0,6.0,yes,0.75,significantly improved,somewhat improved,significantly improved,significantly improved,somewhat improved,significantly improved,significantly improved,not a barrier for me,significantly improved,somewhat improved,stayed about the same,significantly improved,significantly improved,somewhat improved,stayed about the same,significantly improved,5,5,5,yes,yes,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,im 40% more productive when working remotely,im 40% more productive when working remotely,noisy work environment,connectivity/internet issues,interruptions,interruptions,problems with audio-visual setup,connectivity/internet issues,46
30,1987,female,more than 5 years,financial and insurance,professionals - ict professionals,more than 200,couple with dependent children,metro,100% - i spent all of my time remote working,100% - all of my time,100% - i spent all of my time remote working,100% - all of my time,100% - all of my time,yes,no,,,no,,4,5,5,5,somewhat positive,5,5,4,4,4,4,4,strongly positive,senior leadership,somewhat likely,somewhat likely,somewhat likely,3.5,7.5,1.0,2.0,10.0,0.0,9.0,3.0,2.0,10.0,yes,0.05,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat improved,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,5,5,2,no,,,,,,,,,,,im 20% more productive when working remotely,,,,,,,,34
