id,birth_year,gender,industry,ind_detail,occupation,occ_detail,org_size,occupation_1,household,tenure,location,time_ly,org_encouraged,org_prepared,org_common,permission,collaboration,recommend,pref_time_ly,time_3m,time_3m_1,time_3m_2,time_3m_3,time_3m_4,time_3m_5,time_3m_6,pref_time_3m,pref_time_future,org_encourage_future,org_support_future,choice_future,productivity,commute_time,work_time,family_time,caring_time,commute_time_1,work_time_1,family_time_1,caring_time_1,best_aspect,worst_aspect,best_aspect_1,worst_aspect_1,best_aspect_2,worst_aspect_2,best_aspect_3,worst_aspect_3,best_aspect_4,worst_aspect_4,best_aspect_5,worst_aspect_5,major_barrier1,major_barrier2,major_barrier3,minor_barrier1,minor_barrier2,minor_barrier3,age
11,1980,female,administrative and support services,administrative services,clerical and administrative,general clerical,more than 200,no,single person,between 6 and 12 months,metro,rarely or never,,,,,,,70%,100% - i spent all of my time remote working,5.0,5.0,3.0,5.0,5.0,5.0,100% - all of my time,70%,4,4,4,my productivity is about same when i work remotely,3.0,8.0,3.0,2.0,0.5,8.0,5.0,2.0,preparing for work and commuting,my on-the-job learning opportunities,preparing for work and commuting,my working relationships,preparing for work and commuting,my daily expenses,my work-life balance,my on-the-job learning opportunities,my work-life balance,my on-the-job learning opportunities,my job satisfaction,my daily expenses,connectivity (internet connection),connectivity (internet connection),connectivity (internet connection),caring responsibilities,lack of motivation,i have tasks that can't be done remotely,40
12,1989,male,financial and insurance services,finance,professionals,"business, human resource and marketing professionals",more than 200,no,couple with no dependent children,more than 5 years,metro,rarely or never,,,,,,,40%,100% - i spent all of my time remote working,5.0,4.0,5.0,5.0,4.0,4.0,100% - all of my time,50% - about half of my time,4,4,4,i 10% more productive when working remotely,2.0,10.0,3.0,2.0,0.5,12.0,4.0,2.0,the number of hours  i work,preparing for work and commuting,managing my personal commitments,preparing for work and commuting,my personal relationships,preparing for work and commuting,managing my personal commitments,the number of hours  i work,my personal relationships,the number of hours  i work,my personal relationships,my opportunities to socialise,"it equipment (computer, printer, etc.)",connectivity (internet connection),"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",caring responsibilities,lack of motivation,poor management,31
13,1994,female,financial and insurance services,insurance and superannuation funds,professionals,"business, human resource and marketing professionals",more than 200,no,single person,between 6 and 12 months,metro,100% - i spent all of my time remote working,4.0,4.0,5.0,5.0,4.0,4.0,50% - about half of my time,100% - i spent all of my time remote working,5.0,5.0,5.0,5.0,5.0,5.0,50% - about half of my time,50% - about half of my time,4,4,5,i 10% less productive when working remotely,2.0,8.0,1.0,1.0,0.0,9.0,2.0,1.0,preparing for work and commuting,my working relationships,preparing for work and commuting,my working relationships,my daily expenses,my working relationships,my mental wellbeing,my opportunities to socialise,my daily expenses,my on-the-job learning opportunities,my daily expenses,my opportunities to socialise,connectivity (internet connection),connectivity (internet connection),connectivity (internet connection),difficulty collaborating remotely,cyber security,poor management,26
14,1970,female,"professional, scientific and technical services",computer system design and related services,managers,specialist managers,between 20 and 199,yes,couple with no dependent children,between 1 and 5 years,metro,40%,3.0,4.0,4.0,4.0,4.0,4.0,50% - about half of my time,80%,4.0,4.0,4.0,4.0,4.0,4.0,80%,80%,3,4,4,i 50% more productive when working remotely (or more),1.0,12.0,4.0,1.0,0.0,13.0,5.0,1.0,preparing for work and commuting,my on-the-job learning opportunities,my mental wellbeing,my opportunities to socialise,my daily expenses,my working relationships,my work-life balance,my opportunities to socialise,my work-life balance,the number of hours  i work,my daily expenses,my opportunities to socialise,feeling left out and/or isolated,feeling left out and/or isolated,i have tasks that can't be done remotely,connectivity (internet connection),connectivity (internet connection),connectivity (internet connection),50
15,1962,female,construction,heavy and civil engineering construction,clerical and administrative,personal assistants and secretaries,between 5 and 19,no,couple with dependent children,more than 5 years,metro,40%,3.0,4.0,3.0,4.0,4.0,4.0,50% - about half of my time,50% - i spent about half of my time remote working,4.0,5.0,3.0,5.0,4.0,4.0,50% - about half of my time,50% - about half of my time,5,4,5,my productivity is about same when i work remotely,1.0,5.0,3.0,2.0,0.5,5.0,4.0,2.0,the number of hours  i work,my working relationships,managing my personal commitments,my working relationships,managing my family responsibilities,my working relationships,my work-life balance,my opportunities to socialise,my work-life balance,my personal relationships,managing my personal commitments,my opportunities to socialise,feeling left out and/or isolated,feeling left out and/or isolated,feeling left out and/or isolated,caring responsibilities,poor management,poor management,58
16,1959,male,health care and social assistance,hospitals,professionals,ict professionals,more than 200,yes,couple with no dependent children,between 1 and 5 years,metro,rarely or never,,,,,,,50% - about half of my time,100% - i spent all of my time remote working,5.0,4.0,5.0,5.0,4.0,5.0,80%,80%,4,4,5,my productivity is about same when i work remotely,2.5,8.0,4.0,1.5,0.5,9.0,6.0,2.0,preparing for work and commuting,the number of hours  i work,preparing for work and commuting,my opportunities to socialise,preparing for work and commuting,my personal relationships,managing my personal commitments,the number of hours  i work,my work-life balance,the number of hours  i work,my daily expenses,my opportunities to socialise,connectivity (internet connection),connectivity (internet connection),my organisation's software and systems,feeling left out and/or isolated,lack of motivation,i have tasks that can't be done remotely,61
17,1971,female,"transport, postal and warehousing",road transport,clerical and administrative,clerical and office support,between 1 and 4,no,couple with no dependent children,more than 5 years,metro,rarely or never,,,,,,,50% - about half of my time,80%,4.0,4.0,4.0,4.0,4.0,4.0,100% - all of my time,50% - about half of my time,3,3,3,i 50% more productive when working remotely (or more),0.5,8.0,2.0,2.0,0.25,9.0,2.0,2.0,managing my family responsibilities,the number of hours  i work,managing my personal commitments,my mental wellbeing,managing my family responsibilities,my working relationships,managing my personal commitments,my mental wellbeing,my daily expenses,the number of hours  i work,my daily expenses,my mental wellbeing,"it equipment (computer, printer, etc.)",cyber security,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",caring responsibilities,feeling left out and/or isolated,feeling left out and/or isolated,49
18,1960,male,financial and insurance services,finance,professionals,"design, engineering, science and transport professionals",more than 200,yes,couple with no dependent children,between 1 and 5 years,metro,less than 10% of my time,5.0,2.0,5.0,5.0,2.0,1.0,40%,10%,5.0,3.0,5.0,5.0,2.0,2.0,40%,40%,2,4,5,i 30% less productive when working remotely,3.0,10.0,2.0,2.0,1.0,12.0,2.0,2.0,preparing for work and commuting,the number of hours  i work,preparing for work and commuting,my mental wellbeing,my daily expenses,my job satisfaction,managing my personal commitments,my mental wellbeing,my daily expenses,the number of hours  i work,my daily expenses,my mental wellbeing,feeling left out and/or isolated,feeling left out and/or isolated,feeling left out and/or isolated,caring responsibilities,lack of motivation,my organisation's software and systems,60
19,1966,male,"professional, scientific and technical services",computer system design and related services,sales,sales representatives and agents,between 5 and 19,yes,couple with dependent children,between 6 and 12 months,metro,50% - i spent about half of my time remote working,5.0,5.0,5.0,5.0,5.0,5.0,50% - about half of my time,30%,5.0,5.0,5.0,5.0,5.0,5.0,30%,50% - about half of my time,5,5,5,i 50% more productive when working remotely (or more),0.5,4.0,8.0,0.5,0.0,5.0,8.0,0.5,my work-life balance,my working relationships,my working relationships,my opportunities to socialise,my job satisfaction,my daily expenses,my work-life balance,my mental wellbeing,my work-life balance,the number of hours  i work,my job satisfaction,my personal relationships,feeling left out and/or isolated,poor management,my organisation's software and systems,"it equipment (computer, printer, etc.)",cyber security,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",54
20,1969,male,public administration and safety,public administration,community and personal service,protective service,more than 200,no,couple with dependent children,more than 5 years,metro,40%,1.0,1.0,1.0,1.0,4.0,4.0,60%,10%,1.0,1.0,1.0,1.0,4.0,4.0,40%,40%,1,1,2,i 50% more productive when working remotely (or more),2.0,8.0,1.0,3.0,0.5,8.0,1.5,3.0,managing my family responsibilities,my on-the-job learning opportunities,preparing for work and commuting,my opportunities to socialise,managing my family responsibilities,my personal relationships,managing my personal commitments,my on-the-job learning opportunities,my work-life balance,my on-the-job learning opportunities,managing my personal commitments,my personal relationships,poor management,poor management,poor management,difficulty collaborating remotely,lack of motivation,i have tasks that can't be done remotely,51
21,1961,male,"electricity, gas, water and waste services",electricity supply,managers,specialist managers,more than 200,no,couple with no dependent children,more than 5 years,metro,20%,4.0,4.0,4.0,4.0,4.0,4.0,20%,100% - i spent all of my time remote working,5.0,4.0,4.0,5.0,4.0,4.0,100% - all of my time,90%,4,4,5,my productivity is about same when i work remotely,3.0,8.0,2.0,2.0,0.5,8.0,4.0,3.0,managing my family responsibilities,my on-the-job learning opportunities,managing my family responsibilities,my mental wellbeing,managing my family responsibilities,my working relationships,my work-life balance,my mental wellbeing,my work-life balance,my on-the-job learning opportunities,managing my personal commitments,my mental wellbeing,feeling left out and/or isolated,feeling left out and/or isolated,feeling left out and/or isolated,poor management,connectivity (internet connection),"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",59
22,1969,male,administrative and support services,administrative services,clerical and administrative,personal assistants and secretaries,more than 200,no,couple with dependent children,between 6 and 12 months,metro,rarely or never,,,,,,,50% - about half of my time,90%,4.0,4.0,5.0,4.0,4.0,4.0,70%,60%,4,4,4,i 30% more productive when working remotely,2.0,7.0,9.0,6.0,0.5,9.0,9.5,5.0,my work-life balance,preparing for work and commuting,managing my personal commitments,my working relationships,my personal relationships,my job satisfaction,my mental wellbeing,the number of hours  i work,the number of hours  i work,my work-life balance,my daily expenses,my job satisfaction,difficulty collaborating remotely,feeling left out and/or isolated,i have tasks that can't be done remotely,caring responsibilities,lack of motivation,connectivity (internet connection),51
23,1959,male,"transport, postal and warehousing",other transport,professionals,"business, human resource and marketing professionals",between 20 and 199,no,couple with dependent children,between 1 and 5 years,metro,80%,3.0,5.0,5.0,5.0,3.0,5.0,50% - about half of my time,80%,3.0,5.0,5.0,5.0,3.0,5.0,80%,50% - about half of my time,3,3,3,i 20% more productive when working remotely,1.5,7.5,4.0,3.0,1.0,7.5,2.0,2.0,my work-life balance,the number of hours  i work,preparing for work and commuting,my opportunities to socialise,preparing for work and commuting,my working relationships,the number of hours  i work,my opportunities to socialise,my daily expenses,the number of hours  i work,my daily expenses,my opportunities to socialise,feeling left out and/or isolated,connectivity (internet connection),"my workspace (e.g. suitable chair, lighting, noise levels, facilities)","it equipment (computer, printer, etc.)",feeling left out and/or isolated,my organisation's software and systems,61
24,1963,male,public administration and safety,public administration,clerical and administrative,other clerical and administrative,more than 200,no,couple with no dependent children,more than 5 years,metro,30%,3.0,3.0,3.0,2.0,3.0,4.0,20%,20%,4.0,4.0,4.0,4.0,4.0,4.0,50% - about half of my time,50% - about half of my time,4,4,4,i 40% more productive when working remotely,2.0,8.0,10.0,4.0,0.0,8.0,12.0,4.0,my work-life balance,preparing for work and commuting,managing my personal commitments,my opportunities to socialise,preparing for work and commuting,my working relationships,the number of hours  i work,my work-life balance,my daily expenses,my job satisfaction,my daily expenses,my opportunities to socialise,connectivity (internet connection),connectivity (internet connection),connectivity (internet connection),caring responsibilities,lack of motivation,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",57
25,1962,male,financial and insurance services,finance,professionals,"design, engineering, science and transport professionals",more than 200,yes,couple with no dependent children,more than 5 years,metro,10%,3.0,5.0,3.0,5.0,3.0,5.0,70%,90%,4.0,5.0,5.0,5.0,4.0,5.0,100% - all of my time,70%,4,4,4,i 30% more productive when working remotely,3.0,10.0,3.0,2.0,1.0,11.0,5.0,2.0,my work-life balance,my working relationships,managing my family responsibilities,my opportunities to socialise,preparing for work and commuting,my working relationships,my work-life balance,my on-the-job learning opportunities,my job satisfaction,my on-the-job learning opportunities,managing my personal commitments,my opportunities to socialise,difficulty collaborating remotely,cyber security,i have tasks that can't be done remotely,feeling left out and/or isolated,lack of motivation,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",58
26,1965,male,accommodation and food services,food and beverage services,managers,"chief executives, general managers and legislators",between 20 and 199,yes,couple with dependent children,more than 5 years,metro,less than 10% of my time,1.0,2.0,1.0,2.0,1.0,4.0,less than 10% of my time,less than 10% of my time,1.0,1.0,1.0,2.0,1.0,3.0,less than 10% of my time,less than 10% of my time,1,1,1,i 30% less productive when working remotely,2.0,10.0,10.0,2.0,0.0,10.0,10.0,4.0,preparing for work and commuting,my working relationships,managing my personal commitments,my opportunities to socialise,my personal relationships,my working relationships,managing my personal commitments,my opportunities to socialise,my personal relationships,my job satisfaction,managing my personal commitments,my job satisfaction,difficulty collaborating remotely,feeling left out and/or isolated,i have tasks that can't be done remotely,connectivity (internet connection),connectivity (internet connection),connectivity (internet connection),55
27,1962,female,financial and insurance services,finance,professionals,"legal, social and welfare professionals",more than 200,yes,other one family household,more than 5 years,metro,less than 10% of my time,2.0,2.0,2.0,1.0,2.0,3.0,20%,80%,5.0,4.0,5.0,5.0,4.0,4.0,40%,40%,5,5,5,i 10% less productive when working remotely,2.0,6.0,0.5,0.0,0.0,8.0,1.0,0.0,preparing for work and commuting,the number of hours  i work,managing my family responsibilities,my mental wellbeing,my daily expenses,my job satisfaction,managing my personal commitments,my mental wellbeing,my daily expenses,the number of hours  i work,my daily expenses,my mental wellbeing,feeling left out and/or isolated,feeling left out and/or isolated,i have tasks that can't be done remotely,caring responsibilities,lack of motivation,poor management,58
28,1963,female,"transport, postal and warehousing",water transport,clerical and administrative,other clerical and administrative,between 20 and 199,no,couple with dependent children,more than 5 years,metro,100% - i spent all of my time remote working,5.0,5.0,5.0,5.0,5.0,5.0,100% - all of my time,rarely or never,,,,,,,i would not have preferred to work remotely,100% - all of my time,5,3,1,my productivity is about same when i work remotely,0.5,6.0,8.0,2.0,0.5,6.0,10.0,2.0,my work-life balance,preparing for work and commuting,my working relationships,preparing for work and commuting,my daily expenses,preparing for work and commuting,my opportunities to socialise,my on-the-job learning opportunities,the number of hours  i work,my daily expenses,my opportunities to socialise,my daily expenses,connectivity (internet connection),lack of motivation,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",feeling left out and/or isolated,poor management,poor management,57
29,1984,female,"professional, scientific and technical services","professional, scientific and technical services",professionals,"design, engineering, science and transport professionals",more than 200,yes,couple with dependent children,between 1 and 5 years,regional,40%,3.0,4.0,3.0,3.0,4.0,3.0,30%,30%,4.0,4.0,3.0,3.0,3.0,3.0,30%,30%,3,4,3,i 30% more productive when working remotely,1.0,8.0,5.0,2.0,1.0,8.0,6.0,6.0,my working relationships,managing my family responsibilities,my working relationships,managing my family responsibilities,my personal relationships,my working relationships,my opportunities to socialise,my work-life balance,my personal relationships,my work-life balance,my opportunities to socialise,managing my personal commitments,difficulty collaborating remotely,lack of motivation,i have tasks that can't be done remotely,feeling left out and/or isolated,feeling left out and/or isolated,connectivity (internet connection),36
30,1957,male,education and training,"adult, community and other education",professionals,education professionals,i am the only employee,no,single person,more than 5 years,regional,50% - i spent about half of my time remote working,5.0,5.0,5.0,5.0,4.0,5.0,60%,100% - i spent all of my time remote working,5.0,5.0,5.0,5.0,5.0,5.0,60%,60%,4,3,4,i 30% more productive when working remotely,2.0,8.0,4.0,0.0,0.0,8.0,5.0,1.0,preparing for work and commuting,my work-life balance,preparing for work and commuting,my opportunities to socialise,preparing for work and commuting,my personal relationships,managing my personal commitments,my opportunities to socialise,the number of hours  i work,my personal relationships,managing my personal commitments,my opportunities to socialise,poor management,poor management,poor management,"it equipment (computer, printer, etc.)",connectivity (internet connection),i have tasks that can't be done remotely,63
31,1962,male,public administration and safety,public administration,managers,"chief executives, general managers and legislators",more than 200,yes,couple with dependent children,more than 5 years,metro,10%,5.0,5.0,5.0,5.0,4.0,5.0,30%,80%,5.0,4.0,5.0,5.0,4.0,5.0,80%,60%,5,4,5,i 10% less productive when working remotely,1.0,8.5,3.0,2.0,0.0,9.5,4.0,3.0,preparing for work and commuting,the number of hours  i work,managing my personal commitments,my mental wellbeing,preparing for work and commuting,my job satisfaction,managing my personal commitments,the number of hours  i work,my personal relationships,the number of hours  i work,managing my personal commitments,my job satisfaction,difficulty collaborating remotely,lack of motivation,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",connectivity (internet connection),cyber security,my organisation's software and systems,58
32,1958,male,financial and insurance services,finance,managers,specialist managers,more than 200,no,couple with dependent children,more than 5 years,metro,50% - i spent about half of my time remote working,5.0,4.0,4.0,5.0,5.0,5.0,80%,100% - i spent all of my time remote working,5.0,5.0,5.0,5.0,5.0,5.0,100% - all of my time,80%,4,4,4,i 20% more productive when working remotely,4.0,8.5,3.5,1.0,0.0,9.5,3.5,1.0,preparing for work and commuting,my work-life balance,preparing for work and commuting,my working relationships,preparing for work and commuting,my personal relationships,the number of hours  i work,my work-life balance,the number of hours  i work,my work-life balance,my daily expenses,my opportunities to socialise,feeling left out and/or isolated,feeling left out and/or isolated,feeling left out and/or isolated,difficulty collaborating remotely,connectivity (internet connection),my organisation's software and systems,62
33,1961,male,arts and recreation services,sports and recreation activities,managers,specialist managers,more than 200,yes,couple with no dependent children,between 6 and 12 months,metro,90%,5.0,3.0,2.0,4.0,2.0,2.0,30%,90%,5.0,3.0,4.0,5.0,1.0,2.0,30%,30%,4,3,3,i 30% less productive when working remotely,2.0,8.0,8.0,6.0,1.0,10.0,5.0,8.0,preparing for work and commuting,my work-life balance,my opportunities to socialise,my working relationships,my daily expenses,my personal relationships,managing my personal commitments,my work-life balance,my daily expenses,my work-life balance,my daily expenses,my personal relationships,difficulty collaborating remotely,feeling left out and/or isolated,i have tasks that can't be done remotely,connectivity (internet connection),connectivity (internet connection),connectivity (internet connection),59
34,1959,male,information media and telecommunications,broadcasting (except internet),managers,"chief executives, general managers and legislators",more than 200,no,couple with dependent children,between 6 and 12 months,metro,20%,1.0,4.0,1.0,1.0,4.0,3.0,50% - about half of my time,100% - i spent all of my time remote working,1.0,4.0,2.0,1.0,4.0,4.0,50% - about half of my time,50% - about half of my time,1,2,2,i 30% more productive when working remotely,1.0,6.0,2.0,1.0,1.0,8.0,2.0,1.0,my work-life balance,my on-the-job learning opportunities,managing my personal commitments,managing my family responsibilities,my working relationships,preparing for work and commuting,my on-the-job learning opportunities,my opportunities to socialise,my work-life balance,my daily expenses,managing my personal commitments,my mental wellbeing,connectivity (internet connection),connectivity (internet connection),connectivity (internet connection),caring responsibilities,lack of motivation,i have tasks that can't be done remotely,61
35,1980,female,retail trade,motor vehicle and motor vehicle parts retailing,clerical and administrative,general clerical,more than 200,no,couple with dependent children,more than 5 years,metro,less than 10% of my time,5.0,4.0,2.0,4.0,4.0,4.0,50% - about half of my time,90%,5.0,4.0,4.0,4.0,4.0,4.0,100% - all of my time,60%,5,5,5,my productivity is about same when i work remotely,0.5,8.0,3.0,5.0,0.0,8.0,4.0,4.0,my work-life balance,preparing for work and commuting,managing my family responsibilities,my mental wellbeing,my daily expenses,my personal relationships,my work-life balance,my on-the-job learning opportunities,my work-life balance,my on-the-job learning opportunities,my daily expenses,my opportunities to socialise,"it equipment (computer, printer, etc.)",feeling left out and/or isolated,i have tasks that can't be done remotely,connectivity (internet connection),connectivity (internet connection),"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",40
36,1991,female,"rental, hiring and real estate services",property operators and real estate services,clerical and administrative,personal assistants and secretaries,more than 200,no,single person,more than 5 years,metro,rarely or never,,,,,,,less than 10% of my time,20%,3.0,5.0,4.0,4.0,4.0,4.0,20%,10%,4,4,4,my productivity is about same when i work remotely,1.5,9.0,4.0,1.0,0.5,9.0,5.0,1.0,preparing for work and commuting,my work-life balance,managing my personal commitments,my opportunities to socialise,preparing for work and commuting,my working relationships,managing my personal commitments,the number of hours  i work,my daily expenses,my on-the-job learning opportunities,managing my personal commitments,my opportunities to socialise,feeling left out and/or isolated,feeling left out and/or isolated,feeling left out and/or isolated,caring responsibilities,cyber security,poor management,29
